episode,score,reward,steps,epsilon,learning_rate,loss
105,86,-14.024761904761904,46,1.0,0.0001,0.0
106,41,-15.472380952380952,45,1.0,0.0001,0.0
107,22,-24.377142857142857,43,1.0,0.0001,0.0
108,42,-20.15809523809524,42,1.0,0.0001,0.0
109,27,-23.53904761904762,49,1.0,0.0001,0.0
110,58,-16.400952380952383,45,1.0,0.0001,0.0
111,43,-17.915238095238095,52,1.0,0.0001,0.0
112,44,-17.91047619047619,47,1.0,0.0001,0.0
113,21,-25.972380952380952,45,1.0,0.0001,0.0
114,50,-15.50095238095238,45,1.0,0.0001,0.0
115,51,-15.686666666666666,38,1.0,0.0001,0.0
116,38,-17.18190476190476,45,1.0,0.0001,0.0
117,36,-17.567619047619047,41,1.0,0.0001,0.0
118,61,-15.715238095238094,46,1.0,0.0001,0.0
119,48,-17.586666666666666,48,1.0,0.0001,0.0
120,76,-13.762857142857143,44,1.0,0.0001,0.0
121,32,-19.61523809523809,47,1.0,0.0001,0.0
122,70,-19.67238095238095,46,1.0,0.0001,0.0
123,56,-18.21047619047619,47,1.0,0.0001,0.0
124,67,-15.03904761904762,49,1.0,0.0001,0.0
125,22,-22.49142857142857,48,1.0,0.0001,0.0
126,23,-20.80095238095238,47,1.0,0.0001,0.0
127,23,-22.634285714285717,44,1.0,0.0001,0.0
128,68,-13.32,49,1.0,0.0001,0.0
129,38,-20.05809523809524,40,1.0,0.0001,0.0
130,37,-17.467619047619046,43,1.0,0.0001,0.0
131,24,-19.01047619047619,46,1.0,0.0001,0.0
132,53,-18.53904761904762,45,1.0,0.0001,0.0
133,31,-19.85809523809524,45,1.0,0.0001,0.0
134,25,-23.929523809523808,42,1.0,0.0001,0.0
135,52,-17.253333333333334,45,1.0,0.0001,0.0
136,72,-14.429523809523811,47,1.0,0.0001,0.0
137,23,-20.796190476190475,41,1.0,0.0001,0.0
138,28,-20.15333333333333,49,1.0,0.0001,0.0
139,58,-13.32,43,1.0,0.0001,0.0
140,32,-21.11047619047619,47,1.0,0.0001,0.0
141,28,-20.15809523809524,49,1.0,0.0001,0.0
142,36,-19.25809523809524,45,1.0,0.0001,0.0
143,13,-25.324761904761907,49,1.0,0.0001,0.0
144,30,-19.862857142857138,47,1.0,0.0001,0.0
145,26,-22.091428571428573,45,1.0,0.0001,0.0
146,38,-17.367619047619048,49,1.0,0.0001,0.0
147,20,-22.886666666666663,47,1.0,0.0001,0.0
148,58,-13.129523809523809,40,1.0,0.0001,0.0
149,35,-19.60095238095238,48,1.0,0.0001,0.0
150,46,-16.472380952380952,47,1.0,0.0001,0.0
151,33,-19.515238095238093,46,1.0,0.0001,0.0
152,22,-24.18190476190476,42,1.0,0.0001,0.0
153,69,-13.272380952380953,44,1.0,0.0001,0.0
154,68,-15.115238095238096,47,1.0,0.0001,0.0
155,47,-14.586666666666668,47,1.0,0.0001,0.0
156,38,-17.415238095238095,48,1.0,0.0001,0.0
157,60,-16.005714285714284,43,1.0,0.0001,0.0
158,45,-19.453333333333333,44,1.0,0.0001,0.0
159,82,-13.548571428571432,49,1.0,0.0001,0.0
160,36,-19.067619047619047,44,1.0,0.0001,0.0
161,43,-15.08190476190476,46,1.0,0.0001,0.0
162,59,-14.665238095238095,46,1.0,0.0001,0.0
163,50,-18.953333333333333,45,1.0,0.0001,0.0
164,42,-15.424761904761905,40,1.0,0.0001,0.0
165,55,-18.64142857142857,48,1.0,0.0001,0.0
166,44,-18.02952380952381,47,1.0,0.0001,0.0
167,69,-13.415238095238095,51,1.0,0.0001,0.0
168,44,-17.696190476190477,47,1.0,0.0001,0.0
169,48,-14.343809523809522,44,1.0,0.0001,0.0
170,43,-16.82,49,1.0,0.0001,0.0
171,24,-23.934285714285718,46,1.0,0.0001,0.0
172,28,-23.06285714285714,42,1.0,0.0001,0.0
173,39,-18.76761904761905,41,1.0,0.0001,0.0
174,43,-21.68190476190476,51,1.0,0.0001,0.0
175,51,-18.90095238095238,48,1.0,0.0001,0.0
176,42,-15.18190476190476,41,1.0,0.0001,0.0
177,32,-18.162857142857145,46,1.0,0.0001,0.0
178,54,-13.505714285714287,49,1.0,0.0001,0.0
179,42,-16.777142857142856,48,1.0,0.0001,0.0
180,33,-21.248571428571427,44,1.0,0.0001,0.0
181,39,-18.72,47,1.0,0.0001,0.0
182,50,-17.343809523809522,48,1.0,0.0001,0.0
183,75,-10.886666666666668,38,1.0,0.0001,0.0
184,42,-20.09142857142857,44,1.0,0.0001,0.0
185,71,-13.22,47,1.0,0.0001,0.0
186,73,-14.65095238095238,45,1.0,0.0001,0.0
187,37,-17.562857142857144,46,1.0,0.0001,0.0
188,30,-23.000952380952384,46,1.0,0.0001,0.0
189,65,-12.191428571428572,46,1.0,0.0001,0.0
190,24,-24.08190476190476,47,1.0,0.0001,0.0
191,66,-15.405714285714282,49,1.0,0.0001,0.0
192,55,-14.88190476190476,46,1.0,0.0001,0.0
193,43,-16.68190476190476,46,1.0,0.0001,0.0
194,10,-27.072380952380957,49,1.0,0.0001,0.0
195,52,-15.52,42,1.0,0.0001,0.0
196,35,-17.624761904761904,44,1.0,0.0001,0.0
197,32,-19.80095238095238,44,1.0,0.0001,0.0
198,32,-18.205714285714286,47,1.0,0.0001,0.0
199,86,-14.308095238095238,43,1.0,0.0001,0.0
200,45,-19.36285714285714,48,1.0,0.0001,0.0
201,75,-13.72,46,1.0,0.0001,0.0
202,40,-18.66761904761905,49,1.0,0.0001,0.0
203,39,-18.52952380952381,44,1.0,0.0001,0.0
204,23,-24.277142857142856,50,1.0,0.0001,0.0
205,37,-20.586666666666662,42,1.0,0.0001,0.0
206,36,-19.162857142857145,46,1.0,0.0001,0.0
207,32,-19.84857142857143,51,1.0,0.0001,0.0
208,63,-14.153333333333332,47,1.0,0.0001,0.0
209,45,-16.405714285714286,49,1.0,0.0001,0.0
210,43,-18.17714285714285,44,1.0,0.0001,0.0
211,35,-20.886666666666663,41,1.0,0.0001,0.0
212,32,-21.205714285714286,47,1.0,0.0001,0.0
213,59,-17.99142857142857,47,1.0,0.0001,0.0
214,59,-16.505714285714284,45,1.0,0.0001,0.0
215,49,-17.52952380952381,47,1.0,0.0001,0.0
216,66,-13.862857142857145,48,1.0,0.0001,0.0
217,54,-17.105714285714285,45,1.0,0.0001,0.0
218,44,-18.07714285714286,48,1.0,0.0001,0.0
219,50,-17.362857142857145,43,1.0,0.0001,0.0
220,43,-18.205714285714283,50,0.9999,0.0001,0.3447034955024719
221,55,-15.096190476190475,47,0.99980001,0.0001,0.2091582417488098
222,34,-16.367619047619048,51,0.999700029999,0.0001,0.108488492667675
223,98,-8.186666666666667,48,0.9996000599960002,0.0001,0.2871630787849426
224,69,-13.65809523809524,51,0.9995000999900008,0.0001,0.2189759910106659
225,51,-15.715238095238096,48,0.9994001499800016,0.0001,0.1268739700317382
226,41,-18.567619047619047,46,0.9993002099650036,0.0001,0.1679862737655639
227,29,-21.743809523809524,45,0.9992002799440072,0.0001,0.1676002442836761
228,80,-11.862857142857145,47,0.9991003599160128,0.0001,0.1861113458871841
229,24,-20.743809523809524,44,0.9990004498800212,0.0001,0.1273818761110305
230,25,-23.786666666666665,46,0.9989005498350332,0.0001,0.047890730202198
231,78,-13.71047619047619,48,0.9988006597800496,0.0001,0.1860315948724746
232,52,-18.40095238095238,50,0.9987007797140718,0.0001,0.1233809441328048
233,50,-19.196190476190477,48,0.9986009096361004,0.0001,0.1814786195755005
234,38,-18.96761904761905,46,0.9985010495451369,0.0001,0.0973087400197982
235,31,-19.662857142857145,42,0.9984011994401822,0.0001,0.1288754045963287
236,73,-11.086666666666666,51,0.9983013593202382,0.0001,0.1561849117279052
237,44,-16.486666666666665,44,0.9982015291843062,0.0001,0.2019493877887725
238,67,-12.043809523809523,46,0.9981017090313876,0.0001,0.0935170724987983
239,31,-19.996190476190478,44,0.9980018988604846,0.0001,0.1794294416904449
240,32,-19.805714285714284,48,0.9979020986705984,0.0001,0.1545891910791397
241,34,-19.36285714285714,43,0.9978023084607316,0.0001,0.1586427837610244
242,36,-17.567619047619047,43,0.9977025282298854,0.0001,0.1627964526414871
243,38,-19.30095238095238,47,0.9976027579770624,0.0001,0.1486177891492843
244,76,-13.958095238095238,48,0.9975029977012648,0.0001,0.1603087335824966
245,41,-18.75809523809524,47,0.9974032474014946,0.0001,0.1417767852544784
246,40,-17.31047619047619,48,0.9973035070767544,0.0001,0.202249526977539
247,45,-14.834285714285713,46,0.9972037767260468,0.0001,0.1437710523605346
248,28,-23.39142857142857,45,0.9971040563483742,0.0001,0.1950321942567825
249,32,-21.49619047619048,47,0.9970043459427392,0.0001,0.1452226042747497
250,39,-18.624761904761904,43,0.9969046455081452,0.0001,0.1228545159101486
251,41,-18.429523809523808,46,0.9968049550435942,0.0001,0.1421349495649337
252,22,-24.377142857142857,48,0.99670527454809,0.0001,0.0709176212549209
253,83,-11.591428571428573,45,0.9966056040206352,0.0001,0.1642541289329528
254,45,-16.481904761904765,47,0.9965059434602332,0.0001,0.1188344284892082
255,77,-13.715238095238096,45,0.9964062928658872,0.0001,0.1351189017295837
256,42,-16.829523809523806,45,0.9963066522366004,0.0001,0.1322100162506103
257,37,-17.52,43,0.9962070215713767,0.0001,0.1177964285016059
258,31,-20.048571428571428,46,0.9961074008692198,0.0001,0.1565574407577514
259,37,-17.52,46,0.9960077901291328,0.0001,0.0686055943369865
260,22,-24.18190476190476,47,0.99590818935012,0.0001,0.0979110151529312
261,38,-17.324761904761907,46,0.995808598531185,0.0001,0.1890957057476043
262,24,-24.03428571428571,42,0.995709017671332,0.0001,0.1720024198293686
263,31,-18.305714285714284,42,0.9956094467695648,0.0001,0.1133115589618682
264,33,-19.80095238095238,43,0.995509885824888,0.0001,0.1527400612831115
265,30,-20.005714285714284,43,0.9954103348363054,0.0001,0.1624179035425186
266,38,-18.824761904761907,51,0.9953107938028216,0.0001,0.1594154238700866
267,55,-15.14857142857143,50,0.9952112627234414,0.0001,0.1226826235651969
268,32,-20.824761904761903,46,0.9951117415971692,0.0001,0.1486662328243255
269,30,-23.28666666666667,48,0.9950122304230092,0.0001,0.1303838789463043
270,34,-19.505714285714284,45,0.9949127291999672,0.0001,0.1194726601243019
271,30,-19.91047619047619,48,0.9948132379270472,0.0001,0.128394529223442
272,46,-16.472380952380952,48,0.9947137566032545,0.0001,0.1642350256443023
273,35,-19.215238095238096,44,0.994614285227594,0.0001,0.1490279138088226
274,46,-16.47714285714286,39,0.9945148237990712,0.0001,0.111023798584938
275,31,-19.71047619047619,43,0.9944153723166914,0.0001,0.1397838443517685
276,69,-11.534285714285716,45,0.9943159307794598,0.0001,0.124335691332817
277,89,-10.729523809523808,49,0.994216499186382,0.0001,0.1787623018026352
278,57,-16.448571428571427,46,0.9941170775364632,0.0001,0.1678731739521026
279,50,-15.95809523809524,47,0.9940176658287097,0.0001,0.1347818523645401
280,72,-16.043809523809525,49,0.9939182640621268,0.0001,0.1386642605066299
281,30,-19.85809523809524,41,0.9938188722357206,0.0001,0.1324832588434219
282,72,-14.353333333333332,49,0.993719490348497,0.0001,0.1346248090267181
283,30,-19.90571428571429,47,0.9936201183994622,0.0001,0.1682027876377105
284,45,-18.02952380952381,42,0.9935207563876224,0.0001,0.1469935327768325
285,51,-16.996190476190478,41,0.9934214043119836,0.0001,0.1250073909759521
286,27,-22.13904761904762,44,0.9933220621715524,0.0001,0.0533432103693485
287,71,-16.334285714285716,46,0.9932227299653352,0.0001,0.1354150772094726
288,23,-20.89619047619048,51,0.9931234076923388,0.0001,0.163057804107666
289,39,-18.82,51,0.9930240953515695,0.0001,0.21152263879776
290,28,-20.348571428571425,48,0.9929247929420344,0.0001,0.1579139232635498
291,64,-17.558095238095238,43,0.9928255004627402,0.0001,0.1392460018396377
292,79,-15.343809523809522,44,0.992726217912694,0.0001,0.1270576417446136
293,35,-20.743809523809524,42,0.9926269452909028,0.0001,0.1392893195152282
294,51,-15.429523809523811,48,0.9925276825963736,0.0001,0.1162504255771637
295,42,-18.324761904761903,49,0.992428429828114,0.0001,0.1270613968372345
296,68,-15.181904761904764,49,0.9923291869851312,0.0001,0.1864908337593078
297,33,-18.015238095238097,47,0.9922299540664328,0.0001,0.1028650403022766
298,44,-17.986666666666668,45,0.992130731071026,0.0001,0.1869638711214065
299,25,-22.386666666666663,47,0.992031517997919,0.0001,0.0973272398114204
300,24,-23.839047619047616,48,0.9919323148461192,0.0001,0.1536528766155243
301,45,-16.191428571428574,45,0.9918331216146348,0.0001,0.1358759105205536
302,46,-19.35333333333333,45,0.9917339383024733,0.0001,0.1338683664798736
303,33,-21.39619047619048,49,0.991634764908643,0.0001,0.0751414746046066
304,70,-16.22,47,0.991535601432152,0.0001,0.1633821576833725
305,45,-16.572380952380954,42,0.9914364478720088,0.0001,0.1400295794010162
306,63,-15.248571428571427,44,0.9913373042272218,0.0001,0.1765795648097992
307,31,-21.25809523809524,47,0.9912381704967992,0.0001,0.1503894031047821
308,42,-19.96761904761905,46,0.9911390466797494,0.0001,0.1275124996900558
309,37,-19.06285714285714,49,0.9910399327750814,0.0001,0.1437469720840454
310,36,-20.810476190476187,50,0.990940828781804,0.0001,0.1116013973951339
311,24,-22.486666666666665,44,0.9908417346989258,0.0001,0.1293785572052002
312,23,-22.439047619047617,46,0.9907426505254558,0.0001,0.1778481602668762
313,30,-21.643809523809523,47,0.9906435762604032,0.0001,0.1827641129493713
314,40,-18.762857142857143,48,0.9905445119027771,0.0001,0.1360747367143631
315,34,-19.55333333333333,48,0.990445457451587,0.0001,0.1289308816194534
316,56,-13.305714285714286,45,0.9903464129058418,0.0001,0.1447007656097412
317,43,-18.08190476190476,45,0.9902473782645512,0.0001,0.1607395857572555
318,26,-20.548571428571428,47,0.9901483535267248,0.0001,0.1049041748046875
319,38,-17.27238095238095,49,0.990049338691372,0.0001,0.1421578824520111
320,39,-17.36285714285714,49,0.989950333757503,0.0001,0.1190104782581329
321,32,-19.56285714285714,45,0.9898513387241272,0.0001,0.1219595819711685
322,30,-20.000952380952377,44,0.9897523535902548,0.0001,0.0962954312562942
323,36,-16.02,47,0.9896533783548958,0.0001,0.1704324036836624
324,28,-23.72952380952381,48,0.9895544130170604,0.0001,0.1473949253559112
325,27,-23.158095238095235,38,0.9894554575757586,0.0001,0.1368830353021621
326,38,-17.419999999999998,49,0.9893565120300012,0.0001,0.1355289071798324
327,40,-16.977142857142855,48,0.989257576378798,0.0001,0.0786886513233184
328,39,-18.86285714285714,44,0.9891586506211602,0.0001,0.1464253962039947
329,39,-22.02952380952381,46,0.989059734756098,0.0001,0.1981645226478576
330,47,-16.472380952380952,47,0.9889608287826224,0.0001,0.0803079903125763
331,30,-20.29142857142857,43,0.9888619326997442,0.0001,0.1506911516189575
332,61,-15.953333333333331,49,0.9887630465064744,0.0001,0.1528074145317077
333,37,-19.11047619047619,45,0.9886641702018236,0.0001,0.1261759102344513
334,30,-20.000952380952384,44,0.9885653037848036,0.0001,0.1232208684086799
335,56,-16.567619047619047,51,0.988466447254425,0.0001,0.1729325354099273
336,41,-19.948571428571427,43,0.9883676006096996,0.0001,0.1234299391508102
337,36,-21.096190476190475,46,0.9882687638496386,0.0001,0.1802656054496765
338,47,-17.68190476190476,50,0.9881699369732536,0.0001,0.15500408411026
339,43,-17.015238095238097,45,0.9880711199795564,0.0001,0.1370133012533188
340,45,-16.52952380952381,46,0.9879723128675584,0.0001,0.1027013435959816
341,63,-13.93904761904762,44,0.9878735156362716,0.0001,0.1221542060375213
342,29,-23.434285714285718,47,0.987774728284708,0.0001,0.1577893495559692
343,26,-23.82952380952381,42,0.9876759508118796,0.0001,0.1487510800361633
344,78,-13.753333333333332,45,0.9875771832167984,0.0001,0.1764282286167144
345,34,-17.95809523809524,47,0.9874784254984766,0.0001,0.0931431800127029
346,73,-14.32952380952381,45,0.9873796776559268,0.0001,0.10843176394701
347,34,-20.86285714285714,47,0.9872809396881612,0.0001,0.2069239020347595
348,56,-18.734285714285715,49,0.9871822115941924,0.0001,0.1395747661590576
349,84,-14.748571428571427,48,0.987083493373033,0.0001,0.1503981947898864
350,35,-17.905714285714282,44,0.9869847850236956,0.0001,0.171238288283348
351,61,-17.472380952380952,45,0.9868860865451932,0.0001,0.1040947064757347
352,52,-15.615238095238094,45,0.9867873979365388,0.0001,0.1118005067110061
353,42,-19.824761904761903,47,0.9866887191967452,0.0001,0.148701936006546
354,43,-14.653333333333334,50,0.9865900503248256,0.0001,0.118316575884819
355,55,-20.08190476190476,44,0.986491391319793,0.0001,0.1521763205528259
356,45,-19.596190476190472,45,0.9863927421806612,0.0001,0.1151194050908088
357,27,-20.30571428571428,46,0.986294102906443,0.0001,0.1456652730703354
358,23,-22.53904761904762,46,0.9861954734961524,0.0001,0.1257727444171905
359,29,-21.79619047619048,45,0.9860968539488028,0.0001,0.1290497928857803
360,63,-14.015238095238097,47,0.985998244263408,0.0001,0.1442057788372039
361,31,-19.805714285714284,48,0.9858996444389816,0.0001,0.1800219863653183
362,36,-19.643809523809523,47,0.9858010544745378,0.0001,0.1079034879803657
363,58,-15.06285714285714,46,0.9857024743690904,0.0001,0.1896152347326278
364,55,-14.886666666666668,45,0.9856039041216536,0.0001,0.1591303795576095
365,35,-19.310476190476187,39,0.9855053437312414,0.0001,0.1527921259403228
366,45,-18.26761904761905,42,0.9854067931968684,0.0001,0.1521029025316238
367,67,-15.181904761904764,47,0.9853082525175486,0.0001,0.2028347849845886
368,36,-17.715238095238092,47,0.9852097216922968,0.0001,0.1382097899913787
369,31,-21.21047619047619,48,0.9851112007201276,0.0001,0.1184283271431922
370,40,-18.239047619047614,49,0.9850126896000556,0.0001,0.1784607768058776
371,36,-17.76285714285714,45,0.9849141883310956,0.0001,0.1084951758384704
372,43,-15.134285714285712,47,0.9848156969122625,0.0001,0.1293996572494506
373,40,-17.077142857142857,42,0.9847172153425712,0.0001,0.1138567477464675
374,50,-20.834285714285716,46,0.9846187436210372,0.0001,0.0977439731359481
375,28,-21.943809523809524,45,0.9845202817466748,0.0001,0.1731318533420562
376,31,-18.25809523809524,50,0.9844218297185002,0.0001,0.1112385988235473
377,70,-11.00095238095238,42,0.9843233875355284,0.0001,0.1165206283330917
378,28,-21.796190476190475,49,0.9842249551967748,0.0001,0.0891763418912887
379,57,-13.42,47,0.9841265327012552,0.0001,0.1386562585830688
380,86,-11.31047619047619,47,0.9840281200479852,0.0001,0.1456171572208404
381,50,-14.048571428571428,49,0.9839297172359804,0.0001,0.1327576488256454
382,36,-20.63904761904762,42,0.9838313242642568,0.0001,0.1130980849266052
383,53,-18.51047619047619,47,0.9837329411318304,0.0001,0.1235802546143531
384,34,-19.55333333333333,41,0.9836345678377172,0.0001,0.1328913867473602
385,66,-15.310476190476187,45,0.9835362043809336,0.0001,0.2007928937673568
386,31,-20.048571428571428,47,0.9834378507604954,0.0001,0.1416918635368347
387,28,-18.61047619047619,40,0.9833395069754194,0.0001,0.1701199263334274
388,42,-16.824761904761903,47,0.9832411730247218,0.0001,0.0606662556529045
389,40,-17.22,48,0.9831428489074192,0.0001,0.1237758919596672
390,71,-14.291428571428572,46,0.9830445346225286,0.0001,0.1179918646812439
391,37,-17.662857142857142,48,0.9829462301690663,0.0001,0.1222288906574249
392,32,-21.39619047619048,42,0.9828479355460494,0.0001,0.1178071945905685
393,128,-3.948571428571429,49,0.9827496507524948,0.0001,0.1505838930606842
394,31,-21.35809523809524,49,0.9826513757874196,0.0001,0.14549021422863
395,31,-21.453333333333333,49,0.982553110649841,0.0001,0.0967762619256973
396,31,-21.69142857142857,49,0.982454855338776,0.0001,0.1426528543233871
397,21,-25.97238095238095,48,0.982356609853242,0.0001,0.1238467246294021
398,34,-21.248571428571427,44,0.9822583741922568,0.0001,0.0853765457868576
399,42,-16.781904761904762,44,0.9821601483548376,0.0001,0.1265238374471664
400,38,-19.153333333333336,41,0.982061932340002,0.0001,0.1417295783758163
401,38,-17.32,43,0.981963726146768,0.0001,0.0902395248413086
402,42,-18.61047619047619,46,0.9818655297741534,0.0001,0.1249477341771125
403,33,-17.87238095238095,49,0.981767343221176,0.0001,0.1662942767143249
404,57,-17.996190476190474,46,0.981669166486854,0.0001,0.1341271698474884
405,76,-11.267619047619046,43,0.9815709995702052,0.0001,0.1260208189487457
406,31,-19.75809523809524,39,0.9814728424702482,0.0001,0.154394194483757
407,50,-17.600952380952382,43,0.9813746951860012,0.0001,0.1644452214241027
408,31,-19.61523809523809,45,0.9812765577164826,0.0001,0.1393573731184005
409,80,-13.22,51,0.9811784300607108,0.0001,0.1486218571662902
410,72,-14.377142857142855,46,0.9810803122177048,0.0001,0.1032775789499282
411,42,-18.42,47,0.9809822041864832,0.0001,0.1392274349927902
412,54,-15.224761904761904,42,0.9808841059660643,0.0001,0.1692408919334411
413,52,-13.896190476190476,45,0.980786017555468,0.0001,0.1298125982284546
414,24,-22.196190476190477,47,0.9806879389537124,0.0001,0.1200542449951171
415,36,-17.662857142857142,46,0.9805898701598168,0.0001,0.1382052153348922
416,46,-18.072380952380957,49,0.9804918111728008,0.0001,0.1410376876592636
417,75,-12.534285714285712,47,0.9803937619916836,0.0001,0.1216944903135299
418,55,-16.748571428571427,45,0.9802957226154846,0.0001,0.1214999556541442
419,31,-19.85333333333333,45,0.980197693043223,0.0001,0.1293465793132782
420,36,-19.35809523809524,47,0.9800996732739188,0.0001,0.1374393105506897
421,34,-19.70095238095238,49,0.9800016633065912,0.0001,0.1014394313097
422,37,-19.15809523809524,45,0.9799036631402608,0.0001,0.1031930670142173
423,104,-7.058095238095238,44,0.9798056727739468,0.0001,0.0876235514879226
424,45,-21.334285714285716,41,0.9797076922066692,0.0001,0.1342221796512603
425,65,-16.986666666666665,46,0.9796097214374486,0.0001,0.1293710768222808
426,42,-18.039047619047626,50,0.9795117604653047,0.0001,0.0959180295467376
427,18,-24.67714285714285,48,0.9794138092892584,0.0001,0.1090613678097724
428,57,-16.848571428571425,43,0.9793158679083296,0.0001,0.1600721031427383
