weight,age,height,size
61,37.0,160.02,L
66,49.0,162.56,L
58,50.0,162.56,L
61,33.0,162.56,L
64,34.0,175.26,L
54,51.0,167.64,S
52,22.0,154.94,S
56,32.0,167.64,S
55,38.0,162.56,S
70,24.0,162.56,XXXL
77,28.0,160.02,XXXL
83,50.0,165.1,XXXL
77,31.0,175.26,XXXL
79,30.0,177.8,XXXL
77,34.0,162.56,L
54,34.0,165.1,S
81,30.0,170.18,XXXL
52,30.0,165.1,S
61,51.0,167.64,L
54,32.0,165.1,S
58,33.0,167.64,S
65,28.0,165.1,L
81,39.0,180.34,XXXL
74,36.0,170.18,XXXL
56,32.0,165.1,L
81,33.0,162.56,XXXL
54,32.0,160.02,L
61,34.0,162.56,L
61,34.0,165.1,L
65,37.0,160.02,L
58,35.0,170.18,S
58,34.0,175.26,S
90,40.0,170.18,XXXL
55,26.0,162.56,S
70,36.0,175.26,S
68,41.0,162.56,XXXL
57,28.0,165.1,S
65,36.0,165.1,XXXL
63,29.0,162.56,L
77,34.0,167.64,XXXL
62,41.0,172.72,L
77,31.0,172.72,XXXL
52,34.0,167.64,S
61,32.0,175.26,S
53,38.0,160.02,S
56,45.0,165.1,L
54,43.0,160.02,S
81,36.0,162.56,XXXL
84,31.0,165.1,XXXL
58,43.0,170.18,S
52,28.0,162.56,S
56,30.0,165.1,S
52,29.0,154.94,S
52,35.0,160.02,S
79,30.0,162.56,XXXL
70,44.0,170.18,XXXL
56,41.0,162.56,S
55,29.0,162.56,S
72,35.0,165.1,XXXL
52,40.0,157.48,S
58,32.0,160.02,L
55,26.0,162.56,S
53,21.0,157.48,L
53,30.0,160.02,S
58,53.0,170.18,L
63,34.0,170.18,L
72,45.0,170.18,XXXL
62,54.0,167.64,L
65,37.0,172.72,XXXL
61,27.0,162.56,L
70,36.0,172.72,L
65,25.0,142.24,L
81,25.0,172.72,XXXL
65,39.0,167.64,L
65,24.0,167.64,L
68,30.0,152.4,XXXL
61,34.0,162.56,L
61,39.0,170.18,L
61,25.0,165.1,S
72,33.0,172.72,XXXL
54,27.0,165.1,S
63,35.0,167.64,L
61,35.0,170.18,S
58,25.0,175.26,S
77,39.0,175.26,XXXL
73,38.0,177.8,XXXL
58,34.0,162.56,S
58,28.0,152.4,L
65,24.0,170.18,L
97,43.0,162.56,XXXL
55,28.0,157.48,S
65,29.0,172.72,L
50,29.0,152.4,S
63,49.0,170.18,L
68,40.0,175.26,XXXL
68,29.0,172.72,L
65,40.0,170.18,L
53,33.0,154.94,S
65,38.0,180.34,L
55,35.0,167.64,S
74,42.0,167.64,XXXL
54,31.0,165.1,S
79,51.0,167.64,XXXL
75,38.0,182.88,XXXL
65,36.0,157.48,XXXL
70,28.0,177.8,L
70,37.0,167.64,XXXL
86,53.0,160.02,XXXL
58,49.0,157.48,L
53,29.0,167.64,S
43,44.0,157.48,S
54,27.0,172.72,S
72,30.0,157.48,XXXL
68,34.0,170.18,XXXL
58,42.0,170.18,L
56,31.0,152.4,L
70,33.0,160.02,XXXL
62,33.0,167.64,L
56,32.0,165.1,S
56,34.0,162.56,S
58,37.0,162.56,S
61,41.0,160.02,L
81,38.0,187.96,XXXL
65,37.0,172.72,L
72,29.0,172.72,XXXL
63,34.0,175.26,L
68,38.0,160.02,XXXL
65,19.0,167.64,L
49,31.0,162.56,S
55,43.0,170.18,S
58,27.0,160.02,L
58,30.0,165.1,S
52,50.0,162.56,S
70,32.0,172.72,XXXL
52,24.0,160.02,S
54,24.0,152.4,L
52,28.0,162.56,S
58,35.0,170.18,S
70,37.0,170.18,XXXL
56,52.0,157.48,S
69,37.0,167.64,L
74,37.0,170.18,XXXL
58,35.0,160.02,XXXL
55,24.0,175.26,S
62,42.0,162.56,S
65,30.0,165.1,XXXL
56,48.0,165.1,S
61,36.0,175.26,L
52,42.0,162.56,S
74,36.0,175.26,XXXL
56,25.0,167.64,S
63,51.0,162.56,L
65,29.0,167.64,L
52,27.0,162.56,S
65,29.0,172.72,L
77,48.0,167.64,XXXL
56,32.0,162.56,S
63,39.0,157.48,L
49,44.0,154.94,S
90,39.0,167.64,XXXL
56,38.0,167.64,S
54,46.0,162.56,L
56,28.0,160.02,S
63,27.0,172.72,L
49,26.0,162.56,S
61,29.0,165.1,XXXL
58,29.0,165.1,L
56,29.0,170.18,S
104,34.0,162.56,XXXL
65,28.0,165.1,XXXL
48,26.0,154.94,S
52,29.0,157.48,S
61,34.0,170.18,XXXL
54,27.0,165.1,S
54,35.0,157.48,S
63,37.0,165.1,L
63,50.0,177.8,L
71,23.0,162.56,XXXL
72,43.0,170.18,XXXL
79,31.0,165.1,XXXL
55,29.0,172.72,L
86,29.0,175.26,XXXL
72,36.0,172.72,XXXL
54,34.0,167.64,S
55,28.0,167.64,S
52,31.0,162.56,S
72,39.0,160.02,XXXL
70,33.0,170.18,L
65,32.0,167.64,XXXL
49,40.0,154.94,XXXL
65,29.0,162.56,L
48,34.0,160.02,S
88,28.0,172.72,XXXL
54,22.0,162.56,S
53,30.0,167.64,S
53,30.0,170.18,S
83,29.0,154.94,XXXL
52,40.0,157.48,S
70,39.0,160.02,XXXL
49,37.0,167.64,S
61,25.0,165.1,L
56,40.0,160.02,L
95,28.0,167.64,XXXL
56,35.0,167.64,S
58,30.0,172.72,S
53,38.0,157.48,S
47,36.0,160.02,S
70,37.0,172.72,L
69,25.0,160.02,XXXL
55,23.0,172.72,S
72,36.0,165.1,XXXL
63,55.0,167.64,XXXL
68,36.0,172.72,XXXL
68,26.0,162.56,L
61,31.0,157.48,L
61,26.0,157.48,L
72,46.0,157.48,XXXL
70,28.0,162.56,L
53,35.0,160.02,S
92,23.0,182.88,XXXL
74,33.0,162.56,XXXL
78,38.0,172.72,XXXL
63,31.0,172.72,L
53,39.0,162.56,S
49,43.0,172.72,S
72,29.0,170.18,XXXL
63,46.0,170.18,L
56,29.0,162.56,S
63,60.0,167.64,XXXL
79,33.0,177.8,XXXL
52,35.0,167.64,S
52,31.0,157.48,S
56,30.0,165.1,S
54,31.0,172.72,L
49,37.0,170.18,S
61,40.0,167.64,L
68,32.0,170.18,XXXL
58,31.0,157.48,L
65,30.0,170.18,L
51,29.0,162.56,S
58,33.0,152.4,L
61,37.0,185.42,L
95,29.0,170.18,XXXL
77,31.0,172.72,XXXL
56,30.0,167.64,S
65,25.0,180.34,XXXL
52,29.0,162.56,S
49,26.0,170.18,S
81,30.0,172.72,XXXL
52,31.0,162.56,S
58,34.0,157.48,S
65,36.0,180.34,S
72,30.0,162.56,XXXL
54,29.0,160.02,S
83,35.0,167.64,XXXL
58,33.0,167.64,L
84,30.0,177.8,XXXL
58,37.0,167.64,L
53,36.0,165.1,S
66,34.0,175.26,L
51,38.0,157.48,S
86,33.0,167.64,XXXL
64,61.0,162.56,XXXL
58,35.0,157.48,L
65,33.0,160.02,L
58,32.0,162.56,S
70,21.0,175.26,L
63,27.0,162.56,L
61,26.0,162.56,S
61,31.0,157.48,XXXL
60,25.0,165.1,L
48,35.0,157.48,S
54,26.0,160.02,S
54,36.0,167.64,S
77,51.0,170.18,XXXL
56,32.0,175.26,S
65,30.0,170.18,L
54,30.0,157.48,S
59,26.0,162.56,L
61,34.0,165.1,L
56,28.0,157.48,S
81,31.0,167.64,XXXL
65,37.0,160.02,XXXL
74,30.0,162.56,XXXL
55,31.0,167.64,S
54,32.0,177.8,S
49,38.0,160.02,S
58,35.0,160.02,L
48,46.0,160.02,S
52,25.0,167.64,XXXL
61,38.0,172.72,L
72,34.0,162.56,S
56,22.0,162.56,S
54,25.0,165.1,S
77,51.0,165.1,XXXL
77,35.0,160.02,XXXL
61,37.0,170.18,L
49,22.0,152.4,S
53,19.0,160.02,S
56,38.0,172.72,S
56,29.0,170.18,S
65,34.0,165.1,L
58,22.0,165.1,S
65,36.0,157.48,XXXL
63,40.0,162.56,L
57,39.0,167.64,S
68,36.0,175.26,XXXL
61,30.0,162.56,L
77,37.0,170.18,XXXL
99,44.0,175.26,XXXL
58,33.0,165.1,S
72,24.0,172.72,L
86,29.0,167.64,XXXL
74,40.0,167.64,XXXL
72,38.0,175.26,XXXL
74,40.0,175.26,XXXL
53,30.0,160.02,S
83,29.0,182.88,XXXL
74,32.0,165.1,XXXL
63,27.0,165.1,XXXL
45,30.0,162.56,S
49,31.0,157.48,S
90,47.0,160.02,XXXL
56,28.0,170.18,S
58,31.0,167.64,L
58,32.0,167.64,S
56,29.0,160.02,S
48,40.0,157.48,S
77,51.0,157.48,XXXL
54,31.0,154.94,S
62,34.0,170.18,L
64,31.0,157.48,XXXL
55,28.0,160.02,L
54,29.0,154.94,S
90,33.0,172.72,L
57,27.0,170.18,L
56,39.0,165.1,S
102,27.0,170.18,XXXL
70,58.0,170.18,XXXL
65,38.0,162.56,L
70,28.0,162.56,XXXL
79,29.0,157.48,XXXL
68,34.0,162.56,L
49,24.0,167.64,S
58,33.0,162.56,L
56,21.0,160.02,S
60,26.0,157.48,S
58,30.0,157.48,L
58,30.0,175.26,S
77,41.0,167.64,XXXL
63,32.0,170.18,L
56,26.0,154.94,S
64,37.0,167.64,L
90,32.0,165.1,XXXL
72,58.0,157.48,XXXL
81,31.0,167.64,XXXL
92,38.0,157.48,XXXL
74,31.0,160.02,XXXL
56,31.0,162.56,S
61,43.0,165.1,XXXL
56,31.0,157.48,S
63,35.0,170.18,L
57,30.0,162.56,S
61,27.0,177.8,S
70,48.0,175.26,XXXL
70,33.0,167.64,XXXL
68,30.0,170.18,XXXL
63,30.0,165.1,L
56,38.0,170.18,S
58,30.0,165.1,S
65,29.0,172.72,L
58,29.0,165.1,L
55,29.0,160.02,S
63,28.0,167.64,L
60,37.0,167.64,S
52,28.0,162.56,S
79,36.0,175.26,XXXL
47,40.0,152.4,S
58,23.0,172.72,S
64,29.0,167.64,L
86,37.0,167.64,XXXL
54,47.0,160.02,L
52,35.0,167.64,S
53,37.0,157.48,S
79,33.0,175.26,XXXL
56,32.0,165.1,S
72,32.0,167.64,XXXL
70,41.0,170.18,XXXL
70,32.0,170.18,XXXL
56,22.0,165.1,L
74,23.0,180.34,L
77,36.0,175.26,XXXL
52,44.0,167.64,S
72,28.0,160.02,XXXL
95,33.0,165.1,XXXL
79,39.0,167.64,XXXL
58,31.0,167.64,XXXL
54,20.0,177.8,S
86,49.0,172.72,XXXL
50,57.0,162.56,S
58,30.0,160.02,S
65,31.0,175.26,L
96,56.0,165.1,XXXL
54,38.0,154.94,S
67,46.0,165.1,XXXL
62,32.0,172.72,L
58,46.0,162.56,L
65,34.0,162.56,XXXL
56,35.0,162.56,XXXL
108,29.0,160.02,XXXL
75,35.0,160.02,L
62,30.0,170.18,S
53,27.0,154.94,S
73,28.0,180.34,XXXL
52,37.0,152.4,S
56,27.0,160.02,S
61,34.0,157.48,L
86,39.0,170.18,XXXL
62,34.0,167.64,L
83,36.0,165.1,XXXL
49,33.0,152.4,S
97,34.0,167.64,XXXL
72,35.0,167.64,XXXL
61,30.0,170.18,S
58,28.0,167.64,L
68,28.0,172.72,L
58,32.0,162.56,S
68,31.0,167.64,XXXL
52,28.0,170.18,S
60,37.0,160.02,L
54,22.0,165.1,S
65,30.0,165.1,L
50,31.0,154.94,S
83,35.0,170.18,XXXL
71,42.0,170.18,XXXL
60,62.0,157.48,L
63,29.0,157.48,L
86,32.0,170.18,XXXL
70,29.0,162.56,XXXL
49,24.0,160.02,S
70,36.0,175.26,XXXL
51,29.0,157.48,S
65,33.0,167.64,L
52,38.0,152.4,S
63,33.0,160.02,XXXL
54,32.0,147.32,L
77,46.0,167.64,XXXL
74,32.0,162.56,XXXL
58,30.0,160.02,L
58,27.0,167.64,S
54,37.0,157.48,S
55,34.0,167.64,S
61,27.0,162.56,L
70,36.0,170.18,XXXL
51,28.0,154.94,S
48,43.0,157.48,S
58,31.0,167.64,L
58,30.0,167.64,S
56,24.0,167.64,S
61,48.0,165.1,L
79,51.0,162.56,XXXL
58,34.0,165.1,S
56,37.0,162.56,S
81,38.0,175.26,XXXL
68,26.0,165.1,L
54,30.0,170.18,S
63,35.0,167.64,XXXL
46,19.0,160.02,S
54,40.0,162.56,S
49,61.0,157.48,S
56,51.0,165.1,L
65,35.0,165.1,L
83,25.0,177.8,XXXL
60,25.0,165.1,S
62,49.0,170.18,L
58,26.0,172.72,S
72,27.0,170.18,XXXL
52,29.0,170.18,S
89,54.0,170.18,XXXL
88,24.0,162.56,XXXL
65,46.0,162.56,XXXL
54,40.0,162.56,S
72,46.0,172.72,XXXL
74,30.0,165.1,XXXL
61,32.0,170.18,L
63,33.0,175.26,L
83,41.0,172.72,XXXL
56,31.0,170.18,S
54,28.0,170.18,S
58,22.0,170.18,S
63,29.0,162.56,L
55,39.0,157.48,S
74,26.0,175.26,XXXL
58,33.0,167.64,L
79,33.0,177.8,XXXL
65,32.0,162.56,XXXL
56,32.0,162.56,S
68,31.0,180.34,L
58,36.0,167.64,S
49,32.0,157.48,S
70,26.0,162.56,XXXL
65,33.0,152.4,XXXL
74,48.0,165.1,XXXL
63,45.0,157.48,L
62,40.0,170.18,L
64,25.0,172.72,L
54,23.0,170.18,S
54,29.0,160.02,S
54,16.0,170.18,S
95,24.0,175.26,XXXL
68,35.0,167.64,XXXL
63,43.0,162.56,XXXL
68,32.0,165.1,XXXL
58,27.0,160.02,S
70,32.0,162.56,XXXL
86,55.0,162.56,XXXL
58,36.0,165.1,L
45,33.0,172.72,S
59,50.0,165.1,L
53,37.0,172.72,S
58,34.0,167.64,XXXL
74,33.0,160.02,XXXL
54,31.0,160.02,S
65,29.0,175.26,L
61,50.0,160.02,L
53,30.0,152.4,S
56,33.0,157.48,S
56,0.0,170.18,S
56,27.0,162.56,S
47,20.0,157.48,S
72,31.0,175.26,XXXL
56,35.0,170.18,S
70,41.0,167.64,XXXL
56,26.0,154.94,S
47,28.0,167.64,S
77,34.0,182.88,XXXL
50,25.0,165.1,S
72,30.0,165.1,XXXL
76,34.0,162.56,L
56,29.0,167.64,S
65,27.0,157.48,L
68,46.0,170.18,XXXL
62,50.0,170.18,L
74,29.0,170.18,XXXL
47,43.0,157.48,S
61,27.0,167.64,L
53,37.0,170.18,S
63,26.0,165.1,L
56,35.0,167.64,S
54,33.0,162.56,S
68,31.0,175.26,XXXL
53,36.0,167.64,S
64,32.0,172.72,L
68,25.0,162.56,XXXL
61,33.0,162.56,L
58,33.0,157.48,L
58,40.0,172.72,S
88,33.0,185.42,XXXL
60,39.0,180.34,L
57,40.0,162.56,XXXL
58,29.0,170.18,S
71,37.0,165.1,XXXL
47,42.0,157.48,S
63,41.0,165.1,L
74,36.0,172.72,XXXL
74,33.0,160.02,XXXL
54,22.0,165.1,S
83,23.0,170.18,XXXL
56,47.0,162.56,S
71,38.0,165.1,XXXL
68,26.0,170.18,L
88,53.0,157.48,XXXL
58,57.0,152.4,L
65,33.0,170.18,L
49,32.0,157.48,S
65,37.0,152.4,XXXL
81,29.0,165.1,XXXL
81,28.0,180.34,XXXL
61,31.0,162.56,XXXL
54,37.0,165.1,S
54,36.0,160.02,S
68,24.0,165.1,L
46,48.0,152.4,S
54,47.0,175.26,S
49,29.0,162.56,S
63,33.0,157.48,L
72,43.0,165.1,XXXL
62,26.0,167.64,S
77,30.0,167.64,XXXL
56,46.0,149.86,L
74,40.0,167.64,XXXL
53,57.0,152.4,S
56,53.0,170.18,S
53,31.0,177.8,S
58,31.0,165.1,S
54,28.0,162.56,S
56,33.0,157.48,S
68,33.0,180.34,XXXL
52,29.0,170.18,S
56,27.0,165.1,S
74,39.0,162.56,XXXL
74,29.0,180.34,XXXL
73,42.0,162.56,XXXL
72,27.0,165.1,XXXL
65,27.0,177.8,L
86,42.0,170.18,XXXL
72,43.0,162.56,XXXL
61,42.0,160.02,L
68,31.0,175.26,XXXL
54,29.0,157.48,S
61,34.0,175.26,L
70,36.0,170.18,XXXL
78,30.0,180.34,XXXL
56,41.0,172.72,S
53,41.0,167.64,S
63,21.0,160.02,L
58,28.0,170.18,S
54,25.0,149.86,S
53,36.0,152.4,S
65,37.0,172.72,L
83,33.0,160.02,XXXL
56,33.0,167.64,S
63,26.0,157.48,L
72,32.0,172.72,XXXL
63,27.0,172.72,L
74,22.0,180.34,L
81,30.0,160.02,XXXL
54,31.0,162.56,S
51,32.0,167.64,S
68,30.0,177.8,XXXL
72,49.0,170.18,XXXL
63,28.0,165.1,L
63,27.0,167.64,L
53,34.0,157.48,S
58,35.0,165.1,L
58,29.0,175.26,S
65,29.0,167.64,L
63,32.0,175.26,L
86,41.0,162.56,XXXL
53,36.0,157.48,S
54,29.0,160.02,S
53,33.0,162.56,S
63,38.0,180.34,L
56,34.0,157.48,S
72,28.0,152.4,XXXL
61,35.0,170.18,L
61,42.0,162.56,L
54,28.0,167.64,S
65,51.0,160.02,XXXL
90,37.0,162.56,XXXL
68,33.0,172.72,L
74,40.0,175.26,XXXL
81,37.0,170.18,XXXL
61,31.0,165.1,L
70,33.0,175.26,L
77,34.0,182.88,XXXL
58,35.0,165.1,L
61,33.0,177.8,L
58,28.0,165.1,S
63,25.0,177.8,L
58,47.0,160.02,L
72,30.0,167.64,XXXL
72,30.0,165.1,XXXL
59,38.0,167.64,L
49,31.0,157.48,S
56,30.0,177.8,L
68,44.0,175.26,XXXL
62,48.0,167.64,L
86,34.0,175.26,XXXL
65,30.0,165.1,XXXL
65,34.0,160.02,XXXL
61,45.0,167.64,XXXL
62,38.0,170.18,L
54,32.0,162.56,S
65,29.0,162.56,L
62,33.0,172.72,L
63,29.0,162.56,L
56,26.0,170.18,S
71,34.0,162.56,XXXL
72,30.0,175.26,XXXL
79,29.0,177.8,XXXL
54,34.0,162.56,S
70,28.0,177.8,L
61,45.0,167.64,XXXL
65,49.0,165.1,L
63,32.0,162.56,L
50,22.0,162.56,S
65,34.0,162.56,L
48,33.0,162.56,S
61,43.0,177.8,S
61,32.0,165.1,S
63,34.0,172.72,L
60,32.0,172.72,L
81,28.0,175.26,XXXL
54,33.0,170.18,S
63,49.0,170.18,L
47,43.0,157.48,S
49,34.0,160.02,S
68,20.0,157.48,XXXL
65,31.0,160.02,L
61,34.0,167.64,L
63,29.0,172.72,L
69,44.0,170.18,XXXL
72,40.0,180.34,L
55,29.0,162.56,S
77,42.0,175.26,XXXL
50,26.0,157.48,S
79,25.0,160.02,XXXL
49,29.0,157.48,S
74,56.0,160.02,XXXL
72,29.0,154.94,XXXL
69,35.0,157.48,XXXL
63,47.0,172.72,L
54,21.0,160.02,L
68,44.0,157.48,XXXL
56,35.0,162.56,L
79,59.0,175.26,XXXL
108,33.0,182.88,XXXL
61,40.0,162.56,L
54,51.0,167.64,S
63,27.0,160.02,L
49,42.0,162.56,S
56,21.0,167.64,S
63,33.0,170.18,L
81,44.0,180.34,XXXL
56,29.0,167.64,S
88,29.0,165.1,XXXL
65,44.0,170.18,XXXL
65,37.0,175.26,L
72,32.0,175.26,L
65,30.0,170.18,XXXL
63,55.0,167.64,L
72,37.0,165.1,XXXL
68,29.0,180.34,L
62,47.0,170.18,L
68,31.0,165.1,XXXL
68,62.0,167.64,XXXL
56,31.0,160.02,L
63,29.0,160.02,L
49,36.0,152.4,S
79,40.0,162.56,XXXL
68,33.0,172.72,L
52,28.0,157.48,S
97,31.0,175.26,XXXL
54,36.0,175.26,S
58,27.0,160.02,S
58,30.0,154.94,L
64,61.0,162.56,XXXL
55,34.0,162.56,S
65,39.0,157.48,XXXL
52,32.0,157.48,S
72,44.0,160.02,XXXL
68,38.0,180.34,L
79,25.0,175.26,XXXL
60,29.0,172.72,S
58,29.0,162.56,S
62,38.0,165.1,L
68,34.0,170.18,L
58,26.0,172.72,L
63,27.0,147.32,L
68,28.0,162.56,L
61,32.0,165.1,L
52,55.0,157.48,L
57,34.0,165.1,L
58,50.0,165.1,L
54,57.0,160.02,L
63,36.0,170.18,XXXL
68,35.0,172.72,XXXL
61,31.0,170.18,L
88,52.0,185.42,XXXL
63,33.0,172.72,L
54,30.0,160.02,S
63,28.0,160.02,L
68,31.0,170.18,XXXL
61,34.0,160.02,L
68,41.0,162.56,XXXL
69,29.0,175.26,L
46,43.0,157.48,S
63,27.0,165.1,L
52,31.0,157.48,S
61,21.0,160.02,L
58,51.0,167.64,L
52,34.0,157.48,S
63,35.0,160.02,L
72,32.0,157.48,XXXL
58,30.0,172.72,S
61,38.0,154.94,XXXL
72,31.0,160.02,XXXL
77,28.0,167.64,XXXL
70,26.0,162.56,XXXL
56,28.0,160.02,S
58,30.0,160.02,L
74,38.0,170.18,XXXL
74,38.0,162.56,XXXL
58,34.0,175.26,S
68,29.0,180.34,L
47,36.0,160.02,S
72,34.0,167.64,XXXL
58,30.0,172.72,S
81,29.0,160.02,XXXL
62,27.0,157.48,L
53,34.0,149.86,L
58,33.0,175.26,L
63,20.0,167.64,L
56,36.0,160.02,L
56,37.0,170.18,L
65,26.0,167.64,L
97,32.0,172.72,XXXL
51,38.0,162.56,S
72,29.0,170.18,XXXL
82,33.0,172.72,XXXL
54,28.0,157.48,S
56,20.0,177.8,S
99,29.0,177.8,XXXL
53,48.0,162.56,S
95,24.0,175.26,XXXL
55,34.0,167.64,S
58,77.0,165.1,XXXL
54,52.0,160.02,S
49,35.0,157.48,S
58,24.0,160.02,S
59,46.0,167.64,L
63,28.0,170.18,L
62,48.0,172.72,XXXL
58,32.0,157.48,L
67,51.0,175.26,XXXL
68,32.0,177.8,L
65,47.0,172.72,XXXL
63,23.0,177.8,L
79,39.0,172.72,XXXL
76,42.0,177.8,XXXL
81,28.0,165.1,XXXL
65,25.0,170.18,L
58,27.0,170.18,S
63,30.0,170.18,L
70,34.0,165.1,XXXL
67,31.0,170.18,L
74,50.0,167.64,L
65,26.0,177.8,L
61,38.0,160.02,L
68,47.0,165.1,XXXL
54,25.0,157.48,S
57,39.0,177.8,S
54,30.0,165.1,S
72,35.0,165.1,XXXL
74,43.0,167.64,XXXL
52,30.0,162.56,S
73,29.0,149.86,XXXL
51,41.0,160.02,S
52,29.0,170.18,S
55,32.0,162.56,S
68,30.0,177.8,L
61,49.0,175.26,L
77,52.0,160.02,XXXL
58,35.0,165.1,L
53,38.0,175.26,S
46,28.0,165.1,S
54,29.0,152.4,S
68,34.0,170.18,L
74,45.0,167.64,XXXL
77,32.0,170.18,XXXL
68,39.0,165.1,L
63,49.0,170.18,L
68,24.0,157.48,XXXL
58,32.0,162.56,S
56,30.0,167.64,S
65,28.0,165.1,L
68,28.0,177.8,XXXL
58,39.0,170.18,S
51,43.0,162.56,S
44,32.0,162.56,S
58,30.0,160.02,S
56,33.0,162.56,S
53,34.0,170.18,S
61,39.0,167.64,L
54,33.0,157.48,S
56,27.0,157.48,L
58,39.0,165.1,L
65,31.0,162.56,L
58,32.0,165.1,S
63,30.0,167.64,L
68,37.0,165.1,XXXL
68,46.0,157.48,XXXL
68,31.0,157.48,XXXL
62,50.0,170.18,L
65,29.0,167.64,L
68,31.0,170.18,L
56,28.0,170.18,L
55,31.0,160.02,S
81,52.0,165.1,XXXL
46,40.0,157.48,S
55,33.0,167.64,S
61,44.0,165.1,L
58,35.0,167.64,L
74,53.0,170.18,XXXL
63,29.0,177.8,XXXL
99,60.0,157.48,XXXL
47,32.0,154.94,S
60,55.0,165.1,L
56,36.0,160.02,L
47,27.0,157.48,S
56,46.0,167.64,S
74,49.0,157.48,XXXL
56,32.0,157.48,S
61,37.0,162.56,XXXL
58,59.0,165.1,L
79,48.0,177.8,XXXL
49,29.0,157.48,S
86,27.0,172.72,XXXL
70,38.0,160.02,XXXL
81,33.0,175.26,XXXL
64,27.0,162.56,L
65,30.0,162.56,XXXL
58,34.0,180.34,S
54,35.0,157.48,S
72,29.0,165.1,XXXL
54,31.0,160.02,S
52,68.0,160.02,L
61,48.0,162.56,XXXL
68,28.0,167.64,XXXL
54,24.0,167.64,S
68,31.0,180.34,XXXL
79,32.0,157.48,XXXL
69,31.0,162.56,XXXL
58,20.0,165.1,S
65,24.0,172.72,XXXL
56,25.0,162.56,S
63,48.0,180.34,L
115,28.0,170.18,XXXL
74,24.0,185.42,L
68,37.0,170.18,XXXL
54,44.0,170.18,S
108,33.0,177.8,XXXL
54,37.0,165.1,S
65,27.0,162.56,XXXL
66,27.0,157.48,L
58,30.0,165.1,L
51,60.0,152.4,S
70,44.0,165.1,XXXL
72,34.0,162.56,XXXL
113,28.0,165.1,XXXL
81,36.0,167.64,XXXL
